Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
B1,TS02-66-95-BK-260-LCR-D,SW_TS02-66-95-BK-260-LCR-D,91.5,-76.5,-90.0,top
B2,TS02-66-95-BK-260-LCR-D,SW_TS02-66-95-BK-260-LCR-D,99.0,-76.5,-90.0,top
B3,TS02-66-95-BK-260-LCR-D,SW_TS02-66-95-BK-260-LCR-D,106.5,-76.5,-90.0,top
D1,ASMB-MTB0-0A3A2,LED_Avago_PLCC4_3.2x2.8mm_CW,102.5,-53.25,0.0,top
J1,SM04B-SRSS-TB_LF__SN_,JST_SM04B-SRSS-TB_LF__SN_,54.0,-62.0,-90.0,top
J2,Conn_01x04_Pin,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,64.75,-77.5,0.0,bottom
J3,SM04B-SRSS-TB_LF__SN_,JST_SM04B-SRSS-TB_LF__SN_,114.0,-62.0,90.0,top
J4,SM04B-SRSS-TB_LF__SN_,JST_SM04B-SRSS-TB_LF__SN_,114.0,-70.0,90.0,top
J5,SM04B-SRSS-TB_LF__SN_,JST_SM04B-SRSS-TB_LF__SN_,114.0,-62.0,90.0,bottom
J6,SM04B-SRSS-TB_LF__SN_,JST_SM04B-SRSS-TB_LF__SN_,101.9,-53.175,180.0,bottom
J7,Conn_01x04_Pin,PinSocket_1x04_P2.54mm_Vertical,71.23,-53.5,90.0,top
J8,SM04B-SRSS-TB_LF__SN_,JST_SM04B-SRSS-TB_LF__SN_,54.0,-70.0,-90.0,top
R1,R_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.5,-79.0,-90.0,top
R10,R_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,62.5,-64.0,0.0,top
R11,R_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,62.5,-67.0,0.0,top
R12,R_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,72.5,-73.0,90.0,top
R13,R_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,70.5,-73.0,90.0,top
R2,R_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,84.0,-62.0,0.0,top
R3,R_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,84.0,-65.0,0.0,top
R4,R_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,84.0,-68.5,0.0,top
R5,R_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,84.0,-59.0,180.0,top
R6,R_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,84.0,-72.0,180.0,top
R7,R_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,76.0,-79.0,90.0,top
R8,R_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.5,-79.0,-90.0,top
R9,R_US,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,62.5,-61.0,0.0,top
S1,MU-AS90R,MUAS90R,99.25,-63.0,0.0,top
U2,PCF8575DBR,SSOP-24_5.3x8.2mm_P0.65mm,71.5,-66.0,180.0,top
U3,ESP32-C3_SUPERMINI_SMD,MODULE_ESP32-C3_SUPERMINI,86.265,-61.48,0.0,bottom
